Itemized Comparison,,,,,,
Project: Global 1,,,,,,
Generated: 11/22/2025,,,,,,
,,,,,,
Item Description,Qty,Unit,Global Fire,,Optimal Fire,
,,,Unit Rate,Total,Unit Rate,Total
Cable Bundle Up to 40mm 13mm GIB Wall,27,Nr,$39.15,"$1,057.05",N/A,N/A
Cable Bundle Up to 40mm 2x 13mm GIB Wall,1726,Nr,$39.15,"$67,572.90",N/A,N/A
Conduit 20mm 2x 13mm GIB Wall,210,Nr,$39.15,"$8,221.50",N/A,N/A
Single Cable Up to 15mm 2x 13mm GIB Wall,2,Nr,$26.31,$52.62,N/A,N/A
Cable Tray 450mm 13mm GIB Wall,16,Nr,$577.60,"$9,241.60",N/A,N/A
Cable Tray 300mm 13mm GIB Wall,2,Nr,$208.14,$416.28,N/A,N/A
Cable Tray 200mm 13mm GIB Wall,32,Nr,$154.65,"$4,948.80",N/A,N/A
Pex Pipe 16mm 2x 13mm GIB Wall,264,Nr,$39.15,"$10,335.60",N/A,N/A
Stainless Steel Pipe 50mm 2x 13mm GIB Wall,118,Nr,$118.96,"$14,017.22",N/A,N/A
PVC Pipe 40mm Concrete Floor,432,Nr,$76.78,"$33,168.96",N/A,N/A
PVC Pipe 50mm Concrete Floor,250,Nr,$79.35,"$19,837.50",N/A,N/A
Up to 160mm (OD) Insulation,1,ea.,$85.77,$85.77,N/A,N/A
PVC Pipe 100mm 13mm GIB Wall,26,Nr,$95.03,"$2,470.78",N/A,N/A
PVC Pipe 150mm Concrete Floor,2,Nr,$129.38,$258.76,N/A,N/A
Multi Service 65mm 2x 13mm GIB Wall,65,Nr,$95.03,"$6,176.95",N/A,N/A
Std. Linear Seal (Up to 10mm x 10mm Bead),1,lm,$8.59,$8.59,N/A,N/A
Std. Linear Seal (PEF Rod) (Up to 10mm x 10mm Bead),1,lm,$12.89,$12.89,N/A,N/A
Stair Gaps (Up to 10mm x 10mm Bead),1,lm,$20.45,$20.45,N/A,N/A
"Traydec Joint (Trapezium) (Single Layer, One Side Only)",1,lm,$99.30,$99.30,N/A,N/A
Duct Perimeter Seal (Min. 1m perimeter length),1,lm,$33.69,$33.69,N/A,N/A
Gaps up to 12mm,1,lm,$46.04,$46.04,N/A,N/A
Gaps up to 25mm,1,lm,$62.69,$62.69,N/A,N/A
Gaps up to 50mm,1,lm,$104.87,$104.87,N/A,N/A
Gaps up to 75mm,1,lm,$149.53,$149.53,N/A,N/A
Gaps up to 100mm,1,lm,$185.52,$185.52,N/A,N/A
Gaps up to 300mm,1,lm,$132.63,$132.63,N/A,N/A
Up to 50mm Depth,1,lm,$60.60,$60.60,N/A,N/A
Up to 75mm Depth,1,lm,$77.49,$77.49,N/A,N/A
Gaps up to 12mm,1,lm,$69.58,$69.58,N/A,N/A
Gaps up to 25mm,1,lm,$86.23,$86.23,N/A,N/A
Gaps up to 50mm,1,lm,$128.41,$128.41,N/A,N/A
Gaps up to 75mm,1,lm,$173.07,$173.07,N/A,N/A
Gaps up to 100mm,1,lm,$209.06,$209.06,N/A,N/A
Up to 75mm x 50mm,1,ea,$195.78,$195.78,N/A,N/A
Up to 120mm x 50mm,1,ea,$206.97,$206.97,N/A,N/A
Up to 150mm x 50mm,1,ea,$212.59,$212.59,N/A,N/A
Up to 200mm x 200mm,1,ea,$338.39,$338.39,N/A,N/A
Up to 300mm x 300mm,1,ea,$490.86,$490.86,N/A,N/A
Up to 400mm x 400mm,1,ea,$839.42,$839.42,N/A,N/A
Up to 500mm x 500mm,1,ea,"$1,081.59","$1,081.59",N/A,N/A
Up to 600mm x 600mm,1,ea,"$1,368.64","$1,368.64",N/A,N/A
Steel Pipe 65mm 13mm GIB Wall,18,EA,$153.51,"$2,763.18",N/A,N/A
Steel Pipe 32mm 2x 13mm GIB Wall,4,EA,$79.32,$317.28,N/A,N/A
Steel Pipe 32mm 13mm GIB Wall,16,EA,$114.04,"$1,824.64",N/A,N/A
Steel Pipe 25mm 2x 13mm GIB Wall,10,EA,$79.32,$793.20,N/A,N/A
Steel Pipe 50mm 13mm GIB Wall,18,EA,$153.51,"$2,763.18",N/A,N/A
Steel Pipe 25mm Korok Panel 51mm,2,EA,$114.04,$228.08,N/A,N/A
Steel Pipe 32mm Korok Panel 51mm,2,EA,$114.04,$228.08,N/A,N/A
Tenmat FF102/50,5.2,M,$93.23,"$119,475.18",N/A,N/A
Ryanfire Ryanspan with Fixing brackets,5.4,M,$128.41,"$237,789.64",N/A,N/A
Ryanfire Ryanspan,5.2,M,$62.69,"$87,646.89",N/A,N/A
Double Fire Door,5.1,M,$12.89,"$1,546.80",N/A,N/A
Single Fire Door,5.1,M,$12.89,"$23,073.10",N/A,N/A
Lift Door,5.1,M,$12.89,"$3,093.60",N/A,N/A
Pipe Wraps 125mm Tier 1,1,ea,$88.81,$88.81,N/A,N/A
PVC Pipe 100mm Concrete Floor,812,Nr,$129.38,"$105,056.56",N/A,N/A
Pipe Wraps 82mm Tier 2,1,ea,$103.16,$103.16,N/A,N/A
GROUP 7.2 Fire Rated GIB Patch (Up to 300mm x 300mm),1,ea,$34.72,$34.72,N/A,N/A
32mm Timber Top Plate (Up to 50mm Wide),1,ea,$66.93,$66.93,N/A,N/A
"Ryanfire Mastic, Hilti CP606, Boss FireMastic 300",5.1,EA,$0.00,$0.00,N/A,N/A
Steel Pipe 25mm 2x 13mm GIB Wall,16,EA,$79.32,"$1,269.12",N/A,N/A
Steel Pipe 150mm Concrete Wall,8,EA,$290.50,"$2,323.96",N/A,N/A
160mm Service Transits,1,ea.,$174.11,$174.11,N/A,N/A
Steel Pipe 25mm 2x 13mm GIB Wall,128,EA,$79.34,"$10,152.96",N/A,N/A
Stainless Steel Pipe 25mm 2x 13mm GIB Wall,210,Nr,$79.32,"$16,657.20",N/A,N/A
PVC Pipe 65mm Concrete Floor,448,Nr,$82.18,"$36,816.64",N/A,N/A
Gaps up to 150mm,1,lm,$101.17,$101.17,N/A,N/A
Steel Pipe 50mm 2x 13mm GIB Wall,196,EA,$118.89,"$23,282.84",N/A,N/A
Steel Pipe 25mm 13mm GIB Wall,48,EA,$113.21,"$5,473.92",N/A,N/A
Single Cables & Metal Pipes Up to 250mm,1,ea,$109.84,$109.84,N/A,N/A
"Ryanfire Ventilated Downlight Covers, BOSS Ventilated Downlight Covers",1.3,EA,$0.00,$0.00,N/A,N/A
Stainless Steel Pipe 100mm Korok Panel 51mm,2,EA,$221.04,$442.08,N/A,N/A
550mm Fire Boxes,1,ea.,$369.18,$369.18,N/A,N/A
Up to 100mm x 50mm,1,ea,$201.37,$201.37,N/A,N/A
Ryanfire Ryanspan with Fixing brackets,5.4,M,$128.41,"$154,477.23",N/A,N/A
Collars 55mm Tier 3,1,ea,$84.04,$84.04,N/A,N/A
Hilti Cp606,6,Nr,N/A,N/A,$18.00,$108.00
"Ryanfire 502 Batt, Ryanfire Mastic",12,Nr,N/A,N/A,$232.00,"$2,784.00"
"Ryanfire 502 Batt, Ryanfire Mastic, Servo Wrap",18,Nr,N/A,N/A,$354.00,"$6,372.00"
"Allproof FC, Allproof MAS310",6,Nr,N/A,N/A,$38.00,$228.00
"Allproof FC, Allproof MAS311",4,Nr,N/A,N/A,$65.00,$260.00
"Allproof FC, Allproof MAS312",4,Nr,N/A,N/A,$107.00,$428.00
No Tested Solution EJ Required,6,Nr,N/A,N/A,$0.00,$0.00
Multiflex,18,Nr,N/A,N/A,$217.00,"$3,906.00"
Boss HPE Sealant,6,Nr,N/A,N/A,$90.00,$540.00
